Recency,Frequency,Monetary,AvgItemsPerOrder,UniqueCategories,DaysBetweenOrders,ReturnRate,LoyaltyPoints,TargetProductsNext30d,TargetSpendNext30d
169,32,6423.65,14,5,50,0.03,2673,11,1051.18
340,42,9118.92,6,8,56,0.16,8905,5,729.54
342,82,8172.06,2,5,21,0.18,8405,26,750.5
36,1,2778.94,6,5,50,0.09,2729,29,4089.13
299,70,8515.22,9,5,35,0.09,2326,17,3363.19
128,47,4852.55,13,4,8,0.04,5467,26,1486.07
55,40,9329.36,10,9,16,0.09,9680,16,733.61
238,94,7646.86,12,2,7,0.03,6029,9,1374.28
200,96,8928.93,12,2,30,0.21,190,2,198.05
360,59,6135.37,1,9,49,0.28,7203,18,1185.72
75,63,5818.93,7,2,41,0.22,1845,38,2863.91
214,85,6913.83,12,7,32,0.07,6216,4,150.68
232,95,2508.61,1,8,30,0.22,9934,15,1084.76
243,92,1393.48,13,8,8,0.01,1503,16,838.12
128,25,2918.33,12,5,3,0.03,4711,34,6038.36
257,41,5061.54,9,7,51,0.03,490,12,836.22
349,34,5960.18,11,6,38,0.3,8952,25,1765.81
362,30,798.19,3,2,10,0.08,6281,3,420.85
12,61,5403.93,13,6,17,0.19,1422,11,692.13
252,15,2122.14,14,5,26,0.23,6819,10,388.31
118,60,8505.98,2,5,38,0.17,9453,19,2004.02
291,83,5734.36,12,8,37,0.29,5690,34,4226.31
63,50,1159.55,12,9,58,0.26,9925,19,3063.0
249,8,5919.62,6,1,52,0.18,5772,23,1187.34
313,73,1223.98,13,5,32,0.28,5631,13,720.23
239,44,8627.63,4,1,30,0.04,8795,22,1591.88
115,4,3115.81,11,7,59,0.04,7345,14,724.84
310,47,3100.19,6,7,8,0.01,9821,12,796.83
211,71,42.73,3,3,7,0.1,5475,21,3655.56
111,6,2999.74,3,5,16,0.22,9508,12,510.76
362,28,8584.03,14,1,32,0.3,1563,30,3718.89
48,15,7224.11,7,5,36,0.18,7744,2,367.81
280,26,1968.51,14,6,41,0.16,1890,17,1663.19
8,27,2146.27,14,1,56,0.27,1566,15,2591.34
315,50,7349.02,10,6,25,0.21,4101,33,3980.81
9,41,4834.59,5,6,51,0.17,5690,20,1641.73
276,88,3143.98,12,9,7,0.2,2881,19,3071.24
232,7,5823.92,10,6,10,0.05,4807,21,1117.54
348,28,5859.33,10,9,21,0.09,4983,39,6467.95
190,64,5707.58,3,6,39,0.11,8296,2,275.87
100,20,9676.83,10,7,12,0.02,6980,6,499.82
302,87,6346.77,8,4,6,0.26,2868,34,3385.09
319,28,2612.75,1,3,52,0.25,3127,36,5053.61
6,34,8631.84,2,8,53,0.0,5291,6,316.43
322,87,1583.33,4,1,59,0.22,7343,32,3583.17
310,59,3322.27,14,2,50,0.03,4927,9,738.85
73,69,2504.6,8,2,4,0.18,9223,22,786.24
196,77,8617.81,9,9,26,0.2,7587,10,399.58
73,50,3606.99,10,1,13,0.05,9720,0,0.0
190,6,2891.29,11,8,57,0.23,6738,10,261.39
180,21,8381.22,2,4,49,0.07,2537,34,5306.17
58,31,2725.84,6,7,48,0.04,2882,24,1066.26
109,47,2621.5,10,2,54,0.14,7149,24,1142.46
68,22,73.83,9,8,43,0.17,830,14,1766.5
71,87,9623.5,12,4,46,0.19,8627,39,6537.59
61,59,3650.0,7,1,16,0.25,4937,15,2561.11
271,60,8529.44,11,6,24,0.16,1237,7,1017.7
60,14,8981.54,9,9,15,0.17,106,21,2596.45
147,32,788.81,13,6,53,0.25,2347,14,599.35
146,27,8058.19,9,2,7,0.02,4368,21,879.84
113,45,7840.55,10,7,47,0.2,2551,18,3462.57
168,8,2702.11,9,7,32,0.23,1951,12,1592.22
82,85,1333.98,9,2,12,0.04,4734,26,2471.61
334,88,1784.19,13,8,42,0.0,6658,36,1110.53
266,99,7960.84,8,4,44,0.15,7783,13,265.67
72,98,7009.62,6,9,3,0.23,2658,36,3398.15
248,67,3607.4,7,8,52,0.11,2106,22,2596.69
302,67,9574.65,4,4,12,0.18,954,30,1357.26
218,77,1781.98,13,4,48,0.13,1752,24,2208.24
26,79,800.71,3,3,25,0.18,3135,11,307.85
286,70,4598.49,10,1,42,0.28,6794,5,859.09
96,57,911.83,9,2,15,0.29,7944,34,4478.29
273,84,5538.66,11,8,8,0.05,6016,18,777.72
53,84,9824.93,4,8,45,0.19,9846,33,1439.67
333,28,2727.32,5,8,3,0.29,1552,10,241.85
336,44,182.2,3,9,40,0.17,804,22,4148.42
286,96,5351.82,6,8,27,0.16,3758,12,2143.37
310,65,8120.06,2,1,37,0.08,7289,38,3635.1
289,41,2681.7,9,4,28,0.02,4503,32,1699.37
197,18,2078.29,3,8,58,0.13,1173,26,4981.67
247,91,31.24,12,7,59,0.27,6521,39,1233.92
74,82,2262.49,12,6,19,0.27,751,10,737.44
49,61,1380.44,1,4,33,0.25,8916,0,0.0
306,29,2733.87,10,2,58,0.24,1912,6,765.34
22,97,9091.56,5,9,58,0.03,6536,3,556.94
290,62,9590.68,8,9,10,0.18,1642,3,326.67
119,20,4559.43,13,1,33,0.09,895,35,902.61
316,25,3451.05,11,2,18,0.25,1298,16,442.36
287,48,7373.59,4,1,16,0.19,5545,21,2560.68
124,80,8261.6,8,1,48,0.3,6481,0,0.0
96,64,3332.26,1,8,46,0.28,7426,35,6561.38
137,14,6822.72,6,3,31,0.12,4035,6,351.5
306,35,9912.38,7,3,33,0.16,6767,16,1940.74
207,67,6347.47,9,7,20,0.14,9863,29,5449.56
246,48,123.05,10,5,5,0.17,8498,32,761.56
121,60,8212.83,11,3,24,0.21,5087,7,277.47
135,90,4580.15,5,3,57,0.22,7,15,436.53
72,50,3093.47,7,8,9,0.23,374,39,3243.03
36,41,8551.86,11,5,22,0.24,9245,30,2489.97
66,1,5040.16,10,9,23,0.05,9098,8,974.16
315,98,2196.74,14,5,27,0.21,1829,7,1036.65
267,49,3271.91,4,1,45,0.14,6170,12,2098.42
356,90,6250.46,6,8,35,0.26,8666,21,1832.29
171,12,5895.69,6,6,12,0.08,4969,38,6042.39
70,8,307.24,3,2,42,0.21,4507,13,1582.0
54,37,1467.93,12,6,57,0.03,4184,25,1020.97
152,6,5808.59,2,4,14,0.18,4863,27,3223.45
235,57,5414.55,11,4,7,0.28,8453,22,4001.66
124,74,4271.03,1,4,11,0.05,8854,18,644.84
32,49,758.71,8,9,49,0.22,7576,27,2882.63
36,87,8110.99,9,7,18,0.27,8264,16,2007.57
299,73,6241.04,5,4,52,0.12,1652,36,2883.17
25,82,6082.24,5,2,33,0.17,2286,7,864.06
343,45,609.56,8,8,49,0.25,7877,30,839.01
260,47,8980.15,14,9,25,0.03,8932,11,1594.56
63,3,3212.94,3,3,41,0.01,1199,0,0.0
139,96,1867.23,10,6,1,0.14,144,16,962.17
79,20,7086.38,3,8,17,0.19,6319,21,1025.77
8,7,9864.37,8,7,53,0.29,2594,37,832.57
249,55,7771.14,12,5,42,0.24,97,6,480.4
185,85,6234.12,5,6,18,0.29,7383,21,1044.19
47,23,6942.53,7,7,26,0.1,1272,21,4016.41
163,11,769.38,13,6,18,0.1,6247,32,4284.21
88,45,231.17,2,8,57,0.11,8652,4,324.24
172,66,653.96,3,9,31,0.07,5093,2,136.9
310,13,5785.21,10,4,1,0.25,9687,10,1167.98
340,60,9924.94,5,9,37,0.08,9338,11,644.23
149,38,5396.46,8,9,59,0.02,7567,1,36.32
322,44,9342.89,14,6,53,0.05,9862,6,766.55
321,27,136.71,14,6,7,0.08,3599,11,365.91
126,28,2563.01,14,6,10,0.02,7114,30,4176.38
169,31,1875.49,4,8,47,0.14,7258,36,3791.14
169,56,7437.85,9,6,52,0.25,8501,36,1824.49
126,12,4160.52,10,6,50,0.22,5826,11,399.74
89,82,8481.01,12,9,43,0.15,5670,19,2694.01
275,5,9448.03,8,1,15,0.25,3021,1,127.79
355,97,9421.81,11,7,28,0.24,5279,0,0.0
34,10,3949.8,10,4,54,0.21,6918,9,1648.67
221,99,2065.3,5,1,55,0.24,6888,16,849.18
27,26,1577.3,12,1,51,0.18,1888,19,2987.33
60,54,9872.75,5,8,4,0.09,2804,39,3787.94
294,16,5745.31,5,5,38,0.16,9584,35,6649.25
168,88,3257.13,11,7,47,0.03,7244,30,4653.77
234,33,4652.47,9,6,46,0.0,8102,24,4508.69
126,85,354.28,3,5,42,0.09,7076,12,2112.62
339,4,3254.99,10,5,37,0.26,306,33,2885.84
323,69,5358.76,13,5,56,0.09,226,17,2417.42
65,38,5790.18,9,3,9,0.27,7475,1,159.32
282,18,2738.51,2,3,18,0.28,412,21,2121.43
196,29,2747.72,5,4,6,0.21,9714,35,822.01
358,32,484.8,14,7,14,0.06,6273,14,783.58
304,63,8072.95,5,6,29,0.26,2636,38,3885.64
279,34,9815.79,8,5,58,0.09,7572,26,3639.14
170,91,7776.37,2,6,54,0.03,9042,4,319.49
180,24,384.99,2,2,36,0.05,5708,9,1733.37
198,55,1326.0,6,8,49,0.29,4338,27,5058.95
170,88,1561.82,12,2,21,0.05,6521,29,3161.86
155,6,2417.44,3,6,33,0.24,2127,21,4052.0
163,13,9407.17,8,4,39,0.2,3184,9,1783.37
13,52,6927.57,1,4,36,0.02,5112,37,6758.32
327,49,2637.51,3,9,38,0.05,6749,8,709.59
299,97,4132.7,11,5,39,0.13,4570,20,1409.69
105,80,3186.21,12,6,2,0.11,8526,39,6463.34
34,73,6658.32,3,4,38,0.23,58,9,599.98
288,17,4111.25,13,6,20,0.02,1693,11,1413.18
345,48,6293.34,9,1,41,0.28,9159,20,3234.21
308,23,6365.24,6,6,2,0.2,2576,33,1647.39
140,90,2851.32,7,6,56,0.21,5070,12,2155.11
164,68,5115.02,7,6,24,0.2,25,25,1052.92
130,5,5337.4,4,6,46,0.19,8575,9,894.41
356,11,3301.28,9,9,41,0.06,2902,37,7096.75
84,47,3394.32,11,6,29,0.13,6345,9,230.28
225,54,3246.78,11,1,42,0.25,7870,37,990.82
291,9,2989.06,2,1,34,0.04,6144,32,1278.08
153,60,5505.63,5,8,36,0.22,6245,39,1475.84
98,3,2808.28,8,3,38,0.01,5779,17,1910.94
87,97,1774.48,7,3,26,0.02,4250,38,2071.16
321,78,4217.47,7,6,16,0.1,8092,31,5636.18
344,92,7184.83,14,6,49,0.24,296,3,191.38
315,40,1713.71,8,6,40,0.24,5619,25,1698.52
235,24,2342.16,10,1,45,0.23,4033,24,3407.21
212,78,3765.52,5,8,10,0.04,3865,2,76.36
305,33,7312.48,6,8,33,0.28,2870,3,401.83
217,21,1654.01,9,9,52,0.14,1335,13,2082.9
80,67,7226.48,11,4,22,0.18,5979,9,740.01
184,43,2293.52,13,5,16,0.3,1943,26,1660.73
268,98,4636.0,3,3,4,0.14,3128,0,0.0
346,61,6336.55,2,8,23,0.07,9876,11,2143.22
14,88,558.67,5,7,30,0.21,8940,4,299.35
158,25,1447.26,12,7,7,0.28,5047,38,2902.37
170,24,7763.97,12,1,24,0.26,4994,10,1348.18
282,8,4572.66,7,9,56,0.01,1391,25,4812.99
325,12,5368.94,5,8,25,0.23,2561,39,5911.14
250,14,9307.85,3,6,15,0.22,8667,22,1213.81
259,65,8565.34,12,1,2,0.07,7657,3,516.57
180,40,3297.34,10,5,4,0.15,345,39,5097.14
219,59,5200.16,3,2,10,0.08,8798,33,1703.4
8,21,4707.29,1,3,31,0.23,1322,12,247.62
313,87,6789.5,9,9,48,0.01,9462,32,5199.01
288,35,122.07,11,2,12,0.29,4320,9,257.16
183,2,6443.67,4,7,16,0.29,3279,8,444.26
337,79,3802.37,12,6,43,0.27,4709,0,0.0
67,85,1192.98,11,6,22,0.14,3456,37,4410.89
124,14,7358.92,6,6,25,0.17,8354,21,2949.1
279,59,4611.81,13,2,38,0.1,6409,13,2357.39
283,90,9849.48,11,4,49,0.05,5671,14,547.46
224,51,6498.21,14,1,51,0.18,4731,15,2065.94
339,13,3079.77,2,3,4,0.26,8953,10,1916.51
133,57,88.81,14,3,3,0.09,3450,27,2186.7
117,17,3558.46,11,5,1,0.17,2690,36,1362.63
351,43,8069.31,11,1,17,0.05,7496,36,5538.62
216,44,9346.8,6,6,32,0.08,4631,39,5155.57
220,8,4678.71,6,3,46,0.23,9738,38,3311.25
269,39,3489.86,10,3,53,0.09,7959,26,3629.43
328,10,6062.51,4,3,52,0.14,1533,2,249.72
278,82,7105.76,8,2,12,0.18,4913,30,4233.02
94,23,9025.35,13,3,39,0.2,8737,4,337.8
243,67,5578.69,8,6,8,0.3,9805,31,2177.96
223,60,775.95,3,2,15,0.15,818,3,576.56
186,55,2962.68,10,2,54,0.21,4063,28,4864.69
76,70,6408.4,12,5,20,0.27,2632,14,1894.64
88,76,747.85,12,4,11,0.03,1539,25,4200.99
231,59,8790.28,1,7,26,0.18,2656,4,707.59
63,91,9007.41,11,8,7,0.2,6704,9,469.94
171,61,4967.35,9,5,26,0.19,4604,28,701.67
221,77,3704.28,6,6,50,0.05,8246,4,315.51
52,53,5179.77,1,3,40,0.13,4280,2,191.28
203,52,1105.77,4,7,38,0.19,301,27,1840.97
299,9,614.48,5,8,19,0.06,1221,22,3965.19
101,83,2815.42,7,2,56,0.03,8691,0,0.0
20,87,6862.85,11,4,2,0.09,9685,8,956.05
166,26,7451.91,6,7,43,0.25,9978,9,1493.57
339,34,6794.51,2,1,27,0.14,9199,31,2155.98
124,47,1707.74,1,1,6,0.23,1175,19,3557.66
196,7,2214.19,13,4,16,0.17,6451,12,1231.84
74,48,8814.15,5,5,36,0.26,4590,15,2349.34
113,44,8053.8,3,9,12,0.18,1487,7,1184.02
193,62,7610.38,2,9,20,0.16,3311,0,0.0
309,6,1259.22,14,7,48,0.03,6393,20,2239.29
140,43,2957.0,10,1,10,0.26,7685,32,2243.25
256,42,952.46,12,5,46,0.11,4157,15,684.02
267,5,2117.51,14,6,35,0.25,1304,35,4240.72
284,46,2292.06,2,6,39,0.02,7601,38,2968.17
101,2,4357.54,13,4,59,0.25,3324,21,975.47
244,10,2929.37,2,1,10,0.08,6727,35,1377.43
98,73,4258.16,11,2,39,0.3,5445,9,344.59
282,94,9000.8,8,7,34,0.16,9675,30,5855.46
342,65,5253.34,4,1,11,0.26,7833,4,210.5
364,66,4518.6,5,5,52,0.04,5896,19,2585.98
269,89,2490.76,10,5,46,0.21,2384,9,753.27
47,66,8137.27,6,9,54,0.14,2221,29,4362.78
322,58,6101.84,2,2,11,0.02,1529,24,2796.11
43,38,510.47,4,2,46,0.08,4537,4,442.84
278,83,4618.54,12,9,12,0.07,4473,4,122.01
324,74,9828.83,2,2,39,0.28,7457,4,609.63
64,94,3992.44,2,8,24,0.06,7879,22,2561.49
296,81,4454.9,5,9,18,0.24,9595,25,2799.59
184,11,878.97,9,5,54,0.08,6404,26,990.8
48,5,9219.11,5,3,36,0.06,4922,17,1791.09
167,43,118.38,3,7,33,0.03,3516,4,770.71
343,79,8362.37,11,9,52,0.1,3732,8,1480.75
80,84,4682.71,4,4,57,0.15,3122,24,3234.6
186,55,204.54,4,4,1,0.12,2401,29,5144.01
275,21,4903.5,13,3,46,0.23,3834,30,1786.05
96,30,7022.18,4,5,4,0.11,1236,24,2388.52
108,97,7570.19,13,1,12,0.1,1262,8,1352.78
251,99,94.47,2,9,1,0.18,6326,20,792.44
65,23,2529.69,10,8,33,0.01,4265,36,2220.23
16,30,4139.16,9,8,7,0.23,4820,33,5171.43
360,4,6473.18,13,6,2,0.02,8738,14,2734.38
278,41,4401.44,9,8,55,0.08,7118,24,4456.9
158,40,1453.52,2,4,22,0.28,3041,16,851.65
350,61,8332.64,4,4,38,0.26,3674,13,1149.31
79,6,5657.31,7,4,50,0.13,6183,4,518.63
163,80,6335.29,1,8,5,0.2,9194,25,3810.71
33,97,7454.4,5,9,25,0.12,283,4,268.88
275,26,1676.07,3,3,41,0.18,5913,2,345.37
271,92,9556.29,12,9,27,0.19,7606,3,394.92
55,31,9137.56,12,7,6,0.05,5827,11,784.18
300,5,7443.11,10,5,10,0.01,397,9,527.43
3,97,7295.72,6,6,59,0.2,8163,19,1382.5
186,2,4162.47,1,3,19,0.19,5777,36,2072.14
314,90,3865.79,8,6,45,0.28,6364,11,962.61
120,56,3825.48,3,7,53,0.14,3098,22,961.52
227,77,8477.28,9,3,37,0.16,5995,6,693.5
210,29,9971.1,8,2,41,0.26,1798,29,1138.48
34,44,7812.69,1,8,36,0.11,2849,16,321.61
204,85,3804.8,9,2,51,0.27,652,7,211.53
217,9,6380.28,8,6,13,0.07,4586,15,2790.58
13,80,837.28,7,3,29,0.23,8910,32,3307.07
172,77,6382.7,5,7,15,0.12,4721,38,5920.42
224,37,9924.38,1,2,16,0.16,8521,15,541.31
355,41,2657.81,3,4,34,0.3,8221,10,1666.44
215,32,8854.38,7,8,33,0.02,7901,38,2637.38
33,15,7937.73,10,5,7,0.05,1990,1,89.02
329,22,9818.42,7,4,33,0.24,1731,19,3693.22
115,20,6427.41,14,3,10,0.11,1610,31,3661.12
271,37,1816.73,6,5,53,0.2,4618,10,1092.43
206,46,1402.83,9,5,2,0.27,51,24,2282.12
115,72,7910.5,9,8,27,0.2,4985,11,1203.43
264,62,7797.23,4,3,12,0.12,9537,27,2798.38
91,67,1440.72,4,7,57,0.3,1107,36,1712.44
265,48,5106.7,12,7,17,0.04,8760,30,2524.39
215,71,2996.81,11,5,25,0.14,4284,2,322.02
360,63,5340.01,6,4,1,0.13,191,18,3152.49
293,54,4272.63,6,2,32,0.26,7794,17,2945.29
128,91,5901.54,7,2,44,0.01,8698,38,6010.22
175,67,9670.86,7,3,45,0.22,8376,38,3659.68
32,67,2561.93,1,5,26,0.21,9873,14,469.47
219,75,8571.29,8,8,4,0.03,614,35,4155.39
31,23,4631.13,10,1,42,0.3,7502,4,728.48
27,64,4890.83,1,8,10,0.17,1107,22,677.22
99,51,7828.52,8,9,21,0.02,2453,12,306.02
352,86,3804.55,13,5,53,0.06,6587,35,1193.96
55,13,6871.55,3,8,8,0.26,5284,31,1371.56
54,53,274.01,6,5,20,0.17,2715,28,718.38
246,33,1914.57,14,3,11,0.06,3988,5,165.11
257,10,4786.15,7,4,21,0.08,5141,34,2065.49
275,67,957.91,8,5,32,0.11,6593,24,1380.18
150,59,9752.52,12,9,31,0.17,6821,15,397.19
272,91,1993.97,1,7,43,0.24,9489,16,2984.18
29,56,7015.69,6,2,43,0.11,1031,24,2955.01
134,46,7249.12,11,7,26,0.28,6058,35,725.45
88,85,9680.57,4,6,16,0.05,9641,0,0.0
94,50,4528.38,2,6,20,0.19,4969,3,411.74
193,68,6691.3,5,8,3,0.12,8323,3,208.74
213,45,4160.32,14,1,1,0.12,4906,1,121.65
164,16,1817.5,13,3,36,0.26,3862,6,623.23
35,70,9821.25,10,2,13,0.11,7134,20,2945.72
96,61,1016.12,10,2,13,0.17,9882,28,5281.66
123,52,360.12,11,9,29,0.21,9474,38,7227.27
100,34,7310.56,1,8,57,0.06,2264,12,381.9
53,32,3878.93,14,5,19,0.09,8451,23,3227.23
60,6,8669.25,2,9,19,0.26,2260,34,1106.7
170,76,9432.95,11,7,7,0.23,6240,8,997.96
2,42,7639.76,6,2,29,0.23,6298,18,3555.34
252,10,6164.53,2,8,24,0.2,4446,17,3242.68
270,67,1611.33,6,7,22,0.15,6874,23,4360.73
185,67,9123.24,3,1,10,0.02,6321,21,1693.23
233,65,1783.36,12,9,27,0.23,5576,15,2801.47
228,39,3249.19,11,8,43,0.04,2027,38,4271.43
190,91,3415.54,14,8,7,0.0,1509,20,2717.77
271,64,9123.64,14,8,44,0.26,9233,1,85.83
30,46,141.89,7,6,27,0.19,5532,1,109.76
53,83,5182.05,8,5,16,0.11,5077,28,707.22
46,51,3794.61,9,2,1,0.23,7797,2,271.21
275,67,5181.54,2,3,14,0.1,7525,7,1192.8
176,23,6645.94,12,7,33,0.11,233,32,3618.19
180,1,2555.58,13,4,56,0.25,4094,0,0.0
235,43,6713.07,7,7,41,0.01,1674,4,722.52
51,87,5772.43,4,1,22,0.12,3989,17,2995.63
259,99,7047.08,1,7,20,0.2,9469,12,1943.75
216,99,7154.45,1,4,57,0.29,9048,39,3345.65
186,44,8568.65,1,9,43,0.14,9481,29,784.82
258,63,2186.38,12,4,7,0.29,8970,36,4289.96
309,82,5272.32,9,6,59,0.27,1230,29,2902.28
228,51,3118.07,9,4,30,0.09,3305,23,4134.72
164,68,715.57,3,5,8,0.06,7155,9,984.48
298,72,792.88,2,3,9,0.25,2333,8,962.04
190,48,9668.8,9,4,17,0.22,8834,14,2687.1
131,51,8912.08,5,1,35,0.19,6609,19,2865.28
364,62,5367.54,5,9,20,0.12,9756,10,792.69
172,87,7465.98,8,4,18,0.08,6850,36,7028.57
97,52,305.01,13,7,18,0.11,2846,23,1035.41
28,91,5962.82,11,3,26,0.19,5822,37,6196.11
18,69,4725.67,13,4,58,0.19,7932,24,2166.94
258,49,2819.64,9,2,59,0.21,7675,38,4742.68
59,92,7190.73,7,1,35,0.14,8115,6,604.51
73,79,3135.38,13,3,45,0.21,5242,32,1337.99
20,41,7243.16,9,5,23,0.08,4947,19,3431.96
55,6,6771.37,12,4,22,0.23,1703,9,980.59
110,87,5091.65,6,2,52,0.07,7361,6,641.55
163,3,8388.78,6,2,17,0.17,5975,16,1867.82
283,85,3620.06,7,6,41,0.07,1447,16,893.95
202,7,9523.16,7,4,24,0.13,3484,13,1592.1
298,55,5983.22,12,6,55,0.2,3137,31,4544.83
47,20,717.41,14,3,16,0.15,3659,12,573.24
329,32,8793.57,5,4,49,0.21,5609,17,2594.92
25,4,9244.39,8,6,52,0.24,3803,34,1870.36
146,26,545.79,9,3,48,0.01,4670,6,131.97
70,26,5853.54,8,2,4,0.13,3461,7,449.66
306,48,8592.62,12,2,1,0.15,7944,26,4492.43
345,90,5584.34,8,9,4,0.24,6333,26,1880.85
305,5,2762.75,4,1,53,0.18,1827,32,3814.17
167,92,1437.79,14,6,28,0.3,2800,34,2183.28
326,82,1580.68,1,7,49,0.11,401,22,2954.98
292,53,6062.87,13,6,34,0.23,8910,31,3371.56
102,71,2339.51,1,2,56,0.17,2328,18,1028.55
87,98,1429.08,7,1,3,0.3,335,16,2863.65
18,11,4703.51,7,7,25,0.05,1466,26,1144.86
49,20,552.71,11,3,53,0.23,8760,20,1447.17
6,43,5945.1,14,9,43,0.17,144,33,4269.02
357,50,3387.69,3,3,33,0.16,5188,38,7460.22
185,3,5463.77,13,1,7,0.25,119,9,1007.62
37,52,7339.87,8,2,12,0.15,5120,27,3405.94
267,91,2902.65,2,1,7,0.12,4631,20,648.73
32,59,827.38,11,5,9,0.13,751,34,2295.13
63,2,1603.99,4,8,51,0.02,1367,30,3716.52
258,72,9455.66,9,5,16,0.04,9855,4,633.35
359,75,6609.68,3,2,3,0.0,2485,13,1890.32
11,19,9047.84,8,4,10,0.25,1620,34,4063.63
7,62,7710.22,2,5,2,0.07,3796,25,3516.99
170,76,2144.55,9,1,53,0.12,3654,17,2401.74
4,54,2057.78,7,5,29,0.13,1284,5,631.68
306,27,5027.24,4,8,36,0.26,3856,27,1681.31
185,79,841.63,6,7,24,0.13,8314,1,83.69
250,61,1452.26,12,2,27,0.02,6736,9,345.94
282,48,2001.21,2,8,16,0.04,9363,9,1795.36
86,42,5064.97,4,6,31,0.1,454,23,2509.68
266,80,3063.62,4,6,1,0.02,5134,19,552.49
135,88,478.11,13,6,4,0.22,3605,38,2495.22
78,57,9889.41,14,2,57,0.15,5571,32,4407.98
207,74,822.04,3,8,39,0.15,5868,4,787.87
309,41,7722.68,5,2,30,0.09,4990,38,6212.05
79,42,6922.95,4,2,48,0.19,6712,1,154.92
229,69,6546.33,3,8,5,0.06,9466,31,1347.6
327,38,9954.12,2,4,55,0.21,6317,27,3789.82
220,10,6893.77,14,8,11,0.01,9391,19,2273.53
48,60,419.17,11,8,46,0.01,7334,29,3510.56
89,72,5312.84,2,4,33,0.12,5882,5,798.27
164,2,8571.76,3,6,50,0.06,9482,23,2024.1
320,68,5006.0,11,9,49,0.28,8823,31,2228.49
102,58,9536.44,12,5,24,0.27,3418,15,1882.73
179,50,8363.72,5,8,32,0.13,588,36,4208.62
234,89,731.5,10,1,13,0.09,9416,11,1089.08
292,93,2908.52,4,7,6,0.07,7447,21,4055.73
247,39,5063.0,12,3,53,0.12,5593,0,0.0
177,31,8016.45,1,7,48,0.1,6032,31,5931.61
344,7,3766.64,2,7,8,0.16,7952,13,1198.75
230,30,9735.9,14,2,11,0.0,8319,7,225.51
280,60,5676.87,2,9,44,0.07,6800,1,188.83
113,47,6591.23,12,4,3,0.04,8924,15,1736.25
215,52,5091.03,3,6,35,0.23,3602,15,648.39
209,94,1960.79,10,6,23,0.03,4922,1,181.06
23,16,7109.79,11,1,49,0.14,2905,0,0.0
137,5,2309.77,3,3,7,0.21,4049,5,200.15
189,97,884.31,12,2,27,0.03,6803,2,61.52
155,39,1871.59,3,4,29,0.18,2470,26,4597.59
154,55,6618.16,1,9,18,0.02,3446,0,0.0
256,39,5526.41,12,8,56,0.04,6583,17,3361.06
1,62,603.37,4,6,15,0.24,2492,34,4866.53
7,66,7149.19,8,6,43,0.05,5837,9,358.5
361,2,7514.29,10,4,54,0.25,5275,7,140.68
173,1,9316.87,4,8,5,0.13,6682,23,477.58
323,19,635.4,4,7,19,0.14,407,27,4093.74
48,64,9290.08,9,5,34,0.24,4473,16,3035.97
196,4,1542.49,11,1,36,0.12,6066,35,2989.59
309,61,9935.19,10,6,13,0.25,7305,31,4174.76
6,66,1488.81,3,9,16,0.2,3671,5,235.77
312,87,323.74,3,2,13,0.27,5197,34,4366.67
53,89,3017.81,6,6,28,0.1,876,17,1426.34
136,65,9756.93,10,1,35,0.22,9287,31,1463.95
117,16,8562.58,1,9,25,0.18,6072,14,485.2
229,93,2350.49,13,5,56,0.18,6355,17,1547.41
108,90,5604.31,3,8,53,0.28,2812,18,793.93
210,46,1659.8,8,3,57,0.14,4293,8,1273.52
71,70,4642.2,2,1,10,0.27,7003,16,2371.37
141,71,270.98,14,3,1,0.04,1909,18,1484.12
124,57,1647.08,13,3,20,0.19,460,36,6354.55
75,24,4407.57,2,9,10,0.05,9389,33,5653.99
145,56,4533.69,14,7,59,0.09,1142,39,5390.98
339,54,2228.89,3,1,22,0.21,636,10,1936.18
38,38,3690.66,8,3,26,0.27,4974,18,2276.25
195,43,6047.0,6,1,39,0.16,4789,36,6965.65
348,79,8296.6,10,2,55,0.17,3478,34,704.07
203,74,3229.57,4,3,17,0.14,6020,0,0.0
192,76,2799.1,3,3,43,0.21,9534,0,0.0
273,20,6038.43,7,7,8,0.14,6379,10,1695.28
167,66,4296.96,7,7,31,0.23,5143,34,4552.37
124,24,2835.79,11,6,12,0.12,3968,13,302.0
48,37,328.14,2,1,42,0.06,4227,25,616.72
192,49,8974.84,11,6,53,0.09,8371,9,638.57
348,47,6146.91,4,1,34,0.23,7258,29,3784.04
89,11,354.55,1,1,23,0.12,1966,5,567.19
329,24,6988.3,4,3,58,0.07,4187,23,1226.71
31,40,6601.18,10,4,58,0.13,4008,13,1341.34
192,20,7458.26,10,5,33,0.07,1172,3,428.3
22,57,5262.99,8,2,18,0.12,6188,4,752.47
29,58,3589.95,2,1,41,0.05,5143,6,414.4
266,63,2875.5,8,3,27,0.02,8831,32,928.08
147,76,6298.75,6,4,45,0.27,6276,17,1748.4
43,69,8096.64,8,2,43,0.05,4743,12,372.7
291,65,5061.53,13,5,55,0.28,2820,39,1610.72
250,26,4194.52,2,4,25,0.16,4340,29,1714.05
75,94,5933.79,14,2,41,0.07,5285,7,275.63
300,88,1646.48,1,2,31,0.06,3700,20,2584.34
45,42,671.61,9,2,50,0.02,8116,0,0.0
153,23,9669.44,2,3,59,0.27,4584,37,4130.8
339,37,5100.83,10,9,2,0.1,2919,27,842.02
